time,readable_time,acceleration,acceleration_x,acceleration_y,acceleration_z,battery,humidity,pressure,temperature,dev-id
1526083923052,2018-05-12T00:12:03.052000Z,1015.4723039059214,-68,368,944,2935,32.5,1023.66,23.61,C2:9A:9F:E5:58:27
1526083928225,2018-05-12T00:12:08.224999Z,1020.1568506852267,-72,380,944,2947,32.5,1023.74,23.61,C2:9A:9F:E5:58:27
1526083934186,2018-05-12T00:12:14.186000Z,1022.1076264268846,-68,376,948,2941,32.5,1023.69,23.61,C2:9A:9F:E5:58:27
1526083939194,2018-05-12T00:12:19.194000Z,1023.8593653427213,-72,380,948,2947,32.5,1023.69,23.61,C2:9A:9F:E5:58:27
1526083944236,2018-05-12T00:12:24.236000Z,1013.4929698818833,-72,372,940,2947,32.5,1023.69,23.61,C2:9A:9F:E5:58:27
1526083949296,2018-05-12T00:12:29.296000Z,1023.3279044372825,-64,380,948,2935,32.5,1023.58,23.61,C2:9A:9F:E5:58:27
1526083954336,2018-05-12T00:12:34.335999Z,1023.3279044372825,-64,380,948,2947,32.5,1023.72,23.61,C2:9A:9F:E5:58:27
1526083959886,2018-05-12T00:12:39.885999Z,1020.4469608950776,-76,380,944,2935,32.5,1023.68,23.6,C2:9A:9F:E5:58:27
1526083965215,2018-05-12T00:12:45.214999Z,1019.882346155673,-68,380,944,2929,32.5,1023.63,23.6,C2:9A:9F:E5:58:27
1526083970506,2018-05-12T00:12:50.506000Z,1018.1394796392093,-64,376,944,2947,32.5,1023.69,23.61,C2:9A:9F:E5:58:27
1526083976066,2018-05-12T00:12:56.065999Z,1018.9327750151135,-64,368,948,2953,32.5,1023.67,23.6,C2:9A:9F:E5:58:27
1526083981626,2018-05-12T00:13:01.625999Z,1020.9172346473538,-72,372,948,2935,32.5,1023.69,23.59,C2:9A:9F:E5:58:27
1526083987209,2018-05-12T00:13:07.209000Z,1018.6736474455398,-72,376,944,2941,32.5,1023.7,23.6,C2:9A:9F:E5:58:27
1526083992216,2018-05-12T00:13:12.216000Z,1012.9560701234777,-64,372,940,2941,32.5,1023.73,23.6,C2:9A:9F:E5:58:27
1526083997266,2018-05-12T00:13:17.266000Z,1021.8493039582696,-64,376,948,2947,32.5,1023.67,23.6,C2:9A:9F:E5:58:27
1526084002806,2018-05-12T00:13:22.805999Z,1026.0916138435202,-72,376,952,2941,32.5,1023.65,23.6,C2:9A:9F:E5:58:27
1526084008216,2018-05-12T00:13:28.216000Z,1014.6920715172657,-68,376,940,2941,32.5,1023.66,23.59,C2:9A:9F:E5:58:27
1526084013426,2018-05-12T00:13:33.426000Z,1024.8199841923458,-64,384,948,2935,32.5,1023.74,23.59,C2:9A:9F:E5:58:27
1526084018946,2018-05-12T00:13:38.946000Z,1017.6836443610558,-68,384,940,2953,32.5,1023.67,23.6,C2:9A:9F:E5:58:27
1526084024216,2018-05-12T00:13:44.216000Z,1019.2703272439554,-80,376,944,2941,32.5,1023.7,23.6,C2:9A:9F:E5:58:27
1526084029556,2018-05-12T00:13:49.555999Z,1025.561309722632,-64,376,952,2947,33,1023.71,23.59,C2:9A:9F:E5:58:27
1526084035216,2018-05-12T00:13:55.216000Z,1026.0916138435202,-72,376,952,2953,32.5,1023.66,23.59,C2:9A:9F:E5:58:27
1526084040199,2018-05-12T00:14:00.198999Z,1023.8593653427213,-72,380,948,2941,32.5,1023.67,23.6,C2:9A:9F:E5:58:27
1526084045235,2018-05-12T00:14:05.234999Z,1028.0778180663174,-68,372,956,2935,32.5,1023.72,23.59,C2:9A:9F:E5:58:27
1526084050265,2018-05-12T00:14:10.265000Z,1011.4939446185529,-64,368,940,2941,32.5,1023.66,23.59,C2:9A:9F:E5:58:27
1526084055316,2018-05-12T00:14:15.315999Z,1022.3815334795519,-72,376,948,2941,32.5,1023.65,23.58,C2:9A:9F:E5:58:27
1526084060376,2018-05-12T00:14:20.375999Z,1020.1568506852267,-72,380,944,2941,32.5,1023.67,23.6,C2:9A:9F:E5:58:27
1526084065926,2018-05-12T00:14:25.926000Z,1027.0345661174215,-64,380,952,2941,33,1023.72,23.59,C2:9A:9F:E5:58:27
1526084071216,2018-05-12T00:14:31.216000Z,1027.0345661174215,-64,380,952,2953,33,1023.72,23.59,C2:9A:9F:E5:58:27
1526084076546,2018-05-12T00:14:36.546000Z,1025.0775580413415,-68,384,948,2953,33,1023.72,23.59,C2:9A:9F:E5:58:27
1526084082116,2018-05-12T00:14:42.115999Z,1022.6710125939818,-76,376,948,2947,33,1023.67,23.6,C2:9A:9F:E5:58:27
1526084087205,2018-05-12T00:14:47.204999Z,1029.531932481941,-68,376,956,2935,33,1023.73,23.6,C2:9A:9F:E5:58:27
1526084093216,2018-05-12T00:14:53.216000Z,1018.3987431256973,-68,376,944,2935,33,1023.63,23.59,C2:9A:9F:E5:58:27
1526084098255,2018-05-12T00:14:58.255000Z,1022.1076264268846,-68,376,948,2935,33,1023.68,23.59,C2:9A:9F:E5:58:27
1526084103312,2018-05-12T00:15:03.312000Z,1025.350671721631,-72,384,948,2953,33,1023.65,23.59,C2:9A:9F:E5:58:27
1526084108356,2018-05-12T00:15:08.355999Z,1020.6429346250333,-68,372,948,2953,33,1023.65,23.6,C2:9A:9F:E5:58:27
